sequence,timestamp_ns,bid_ticks,bid_quantity,ask_ticks,ask_quantity
1,1000001000,99995,850,100005,150
2,1000002000,99998,860,100008,140
3,1000003000,100001,870,100011,130
4,1000004000,100004,880,100014,120
5,1000005000,100007,890,100017,110
6,1000006000,100010,900,100020,100
7,1000007000,100013,900,100023,100
8,1000008000,100016,900,100026,100
9,1000009000,100019,900,100029,100
10,1000010000,100022,900,100032,100
11,1000011000,100025,900,100035,100
12,1000012000,100028,900,100038,100
13,1000013000,100031,900,100041,100
14,1000014000,100034,900,100044,100
15,1000015000,100037,900,100047,100
16,1000016000,100040,900,100050,100
17,1000017000,100043,900,100053,100
18,1000018000,100046,900,100056,100
19,1000019000,100043,100,100053,900
20,1000020000,100040,100,100050,900
21,1000021000,100037,100,100047,900
22,1000022000,100034,100,100044,900
23,1000023000,100031,100,100041,900
24,1000024000,100028,100,100038,900
25,1000025000,100025,100,100035,900
26,1000026000,100022,100,100032,900
27,1000027000,100019,100,100029,900
28,1000028000,100016,100,100026,900
29,1000029000,100013,100,100023,900
30,1000030000,100010,100,100020,900
31,1000031000,100007,100,100017,900
32,1000032000,100004,100,100014,900
33,1000033000,100001,100,100011,900
34,1000034000,99998,100,100008,900
35,1000035000,99995,500,100005,500
36,1000036000,99995,500,100005,500
37,1000037000,99998,900,100008,100
38,1000038000,100001,900,100011,100
39,1000039000,100004,900,100014,100
40,1000040000,100007,900,100017,100
41,1000041000,100010,900,100020,100
42,1000042000,100013,900,100023,100
43,1000043000,100016,900,100026,100
44,1000044000,100019,900,100029,100
45,1000045000,100022,900,100032,100
46,1000046000,100025,900,100035,100
47,1000047000,100028,900,100038,100
48,1000048000,100031,900,100041,100
49,1000049000,100034,900,100044,100
50,1000050000,100037,900,100047,100
51,1000051000,100040,500,100050,500
52,1000052000,100040,500,100050,500
53,1000053000,100040,500,100050,500
54,1000054000,100040,500,100050,500
